name,group,elicited_points,confidence,elicitation_meta
GHGe Benefit,Social,"[[0.53, 0.0], [2.9, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Electricity Market Benefit,Social,"[[24.0, 0.0], [49.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Load following Capabilities,Technical,"[[0.0, 0.0], [4.25, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Net Power Output,Technical,"[[300.0, 0.0], [1000.0, 0.75], [1630.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": 1000.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Licensing Status,Feasibility,"[[0.0, 0.0], [1.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity,Economic,"[[0.0, 0.0], [1.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility,Feasibility,"[[0.0, 0.0], [1.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Thermal Efficiency,Technical,"[[30.8, 0.0], [36.17, 1.0]]",2.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 2}"
Discharge Burnup,Technical,"[[46.5, 0.0], [55.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Capital Investment Budgeted,Economic,"[[4000.0, 1.0], [6000.0, 0.75], [8000.0, 0.5], [10000.0, 0.25], [14000.0, 0.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": 14000.0, ""x0"": 8000.0, ""x025"": 10000.0, ""x075"": 6000.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Operative + Fuel Costs,Economic,"[[20.0, 1.0], [22.0, 0.5], [24.0, 0.25], [30.0, 0.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": 50.0, ""x0"": 30.0, ""x025"": 35.0, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Percived Safety,Social,"[[0.0, 0.0], [1.0, 0.75], [2.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": 1.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Nuclear Waste,Social,"[[5.88, 1.0], [27.71, 0.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Design Maturity,Feasibility,"[[0.0, 0.0], [1.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Complexity,Economic,"[[0.0, 0.0], [1.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
