indicator, APR1400, EPR1750, AP1000, BWRX300, RollsRoyceSMR, NuScaleVOYGR6,confidence
Design Maturity - starting point,5,4,5,2,1,1,
Licensing Status - starting point,4,5,4,2,1,1,
Design Complexity - starting point,2,4,2,0,3,0,
Construction Complexity - starting point,0,0,0,2,1,3,
Supplier Availbility - starting point,1,3,3,2,1,1,
Design Maturity,6.0,4.333333333333333,6.0,2.6666666666666665,1.0,1.0,3
Licensing Status - IT,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,0.0,0.0,2
Licensing Status - CH,0.25,1.0,0.75,0.5,0.0,0.0,2
Licensing Status - FR,0.6666666666666667,1.0,0.6666666666666667,0.0,0.33333333333333337,0.33333333333333337,3
Licensing Status - PO,0.75,0.5,1.0,0.25,0.0,0.0,2
Design Complexity,5.0,6.0,4.0,1.0,2.0,3.0,3
Construction Complexity - IT,0.19999999999999996,0.0,0.3999999999999999,0.8,0.6,1.0,3
Construction Complexity - CH,0.19999999999999996,0.0,0.3999999999999999,0.8,0.6,1.0,3
Construction Complexity - FR,0.19999999999999996,0.0,0.3999999999999999,0.8,0.6,1.0,3
Construction Complexity - PO,0.19999999999999996,0.0,0.3999999999999999,0.8,0.6,1.0,3
Supplier Availbility - IT,0.25,0.75,0.75,1.0,0.5,0.0,2
Supplier Availbility - CH,0.25,0.75,0.75,1.0,0.5,0.0,3
Supplier Availbility - FR,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.0,3
Supplier Availbility - PO,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.6666666666666667,0.0,3
