name,group,elicited_points,confidence,elicitation_meta
GHGe Benefit,Social,"[[0.026, 0.0], [0.16, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Electricity Market Benefit,Social,"[[8.0, 0.0], [18.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Load following Capabilities,Technical,"[[0.0, 0.0], [4.25, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Net Power Output,Technical,"[[300.0, 1.0], [1630.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Licensing Status,Feasibility,"[[0.0, 0.0], [1.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity,Economic,"[[0.0, 0.0], [1.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility,Feasibility,"[[0.0, 0.0], [1.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Thermal Efficiency,Technical,"[[33.0, 0.0], [33.1, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": 33.0, ""upper_threshold"": 33.1, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Discharge Burnup,Technical,"[[46.5, 0.0], [55.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Capital Investment Budgeted,Economic,"[[4000.0, 1.0], [20000.0, 0.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Operative + Fuel Costs,Economic,"[[18.0, 1.0], [30.0, 0.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": 50.0, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Percived Safety,Social,"[[1.0, 0.0], [1.1, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": 1.0, ""upper_threshold"": 1.1, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Nuclear Waste,Social,"[[5.88, 1.0], [27.71, 0.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Design Maturity,Feasibility,"[[0.0, 0.0], [1.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Complexity,Economic,"[[0.0, 0.0], [1.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
